,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,Implied volatility,Underlaying asset price,Expiration time
260,2/17/17,6/16/17,2.5,AXAS,Call,0.25,0.62259,2.31,0.325804244
261,2/17/17,6/16/17,2.5,AXAS,Put,0.45,0.83893,2.31,0.325804244
262,2/17/17,9/15/17,2.5,AXAS,Call,0.4,0.64162,2.31,0.574948665
263,2/17/17,9/15/17,2.5,AXAS,Put,0.5,0.62909,2.31,0.574948665
264,2/17/17,3/17/17,60,ACIA,Call,8.65,0.74907,66.580002,0.076659822
265,2/17/17,3/17/17,65,ACIA,Call,5.8,0.69073,66.580002,0.076659822
266,2/17/17,3/17/17,70,ACIA,Call,3.7,0.78464,66.580002,0.076659822
267,2/17/17,3/17/17,60,ACIA,Put,2.4,0.74841,66.580002,0.076659822
268,2/17/17,3/17/17,65,ACIA,Put,4.6,0.7074,66.580002,0.076659822
269,2/17/17,3/17/17,70,ACIA,Put,7.9,0.774,66.580002,0.076659822
270,2/17/17,5/19/17,60,ACIA,Call,11.22,0.63262,66.580002,0.249144422
271,2/17/17,5/19/17,65,ACIA,Call,8.74,0.65558,66.580002,0.249144422
272,2/17/17,5/19/17,70,ACIA,Call,6.7,0.64053,66.580002,0.249144422
273,2/17/17,5/19/17,60,ACIA,Put,6.3,0.77642,66.580002,0.249144422
274,2/17/17,5/19/17,65,ACIA,Put,9.75,0.74148,66.580002,0.249144422
275,2/17/17,5/19/17,70,ACIA,Put,11.9,0.8097,66.580002,0.249144422
276,2/17/17,8/18/17,60,ACIA,Call,13.2,0.47093,66.580002,0.498288843
277,2/17/17,8/18/17,65,ACIA,Call,11,0.53494,66.580002,0.498288843
278,2/17/17,8/18/17,70,ACIA,Call,9,0.50805,66.580002,0.498288843
279,2/17/17,8/18/17,60,ACIA,Put,9.5,0.68298,66.580002,0.498288843
280,2/17/17,8/18/17,65,ACIA,Put,12.6,0.68964,66.580002,0.498288843
281,2/17/17,8/18/17,70,ACIA,Put,16.51,0.70055,66.580002,0.498288843
282,2/17/17,1/19/18,60,ACIA,Call,15.08,0.45453,66.580002,0.919917864
283,2/17/17,1/19/18,65,ACIA,Call,13.2,0.44281,66.580002,0.919917864
284,2/17/17,1/19/18,70,ACIA,Call,10.9,0.44422,66.580002,0.919917864
285,2/17/17,1/19/18,60,ACIA,Put,12.5,0.63107,66.580002,0.919917864
286,2/17/17,1/19/18,65,ACIA,Put,15.55,0.65347,66.580002,0.919917864
287,2/17/17,1/19/18,70,ACIA,Put,21.5,0.73243,66.580002,0.919917864
288,2/17/17,1/18/19,60,ACIA,Call,20.52,0.41339,66.580002,1.916495551
289,2/17/17,1/18/19,65,ACIA,Call,20.8,0.42913,66.580002,1.916495551
290,2/17/17,1/18/19,70,ACIA,Call,12,0.40703,66.580002,1.916495551
291,2/17/17,1/18/19,60,ACIA,Put,19.5,0.72646,66.580002,1.916495551
292,2/17/17,1/18/19,65,ACIA,Put,21.5,0.68089,66.580002,1.916495551
293,2/17/17,1/18/19,70,ACIA,Put,25.62,0.63449,66.580002,1.916495551
294,2/17/17,3/17/17,40,ACHC,Call,3.49,0.1325,42.59,0.076659822
295,2/17/17,3/17/17,45,ACHC,Call,1.1,0.43483,42.59,0.076659822
296,2/17/17,3/17/17,40,ACHC,Put,1.05,1.625,42.59,0.076659822
297,2/17/17,3/17/17,45,ACHC,Put,3.93,1.625,42.59,0.076659822
298,2/17/17,6/16/17,40,ACHC,Call,3.2,0.3572,42.59,0.325804244
299,2/17/17,6/16/17,45,ACHC,Call,2.72,0.35728,42.59,0.325804244
300,2/17/17,6/16/17,40,ACHC,Put,2.8,0.53456,42.59,0.325804244
301,2/17/17,6/16/17,45,ACHC,Put,9,0.54992,42.59,0.325804244
302,2/17/17,9/15/17,40,ACHC,Call,4.43,0.33679,42.59,0.574948665
303,2/17/17,9/15/17,45,ACHC,Call,3.4,0.33542,42.59,0.574948665
